text,label
We checked the building and all contents like the dryer were not touched by water and are in perfect condition.,No Damage
"Heavy damage to the toys , the vehicle , and the entire downstairs subfloor because of the storm surge.",Medium Damage
"We suffered a total loss of property. The structure itself, along with the truck and the laptop were washed away down the street.",Destroyed
Assessment indicates cosmetic seepage affecting the flooring,Low Damage
"Filing for a complete destruction event. The structure itself, along with the furnace and the couch have been obliterated.",Destroyed
hey found a small amount of moisture near the garage could be worse,Low Damage
"Water destroyed the dryer , the washer , and the entire downstairs bedrooms after the river crested.",Medium Damage
"Water destroyed the vehicle , the couch , and the entire downstairs roof after the river crested.",Medium Damage
I can confirm that the home as well as the HVAC were not touched by water and remain completely dry.,No Damage
"The flood ruined our car , the furnace , and the entire downstairs foundation due to the standing water.",Medium Damage
The water only reached the driveway gravel but spared the television inside the house.,Low Damage
Claim closed. Zero water level issues affecting the shop,No Damage
"Notice of complete destruction event. Every single item, including the dryer and HVAC were washed away down the street.",Destroyed
dodged a bullet not a single drop near the premises thank heavens,No Damage
"Heavy damage to the vehicle , the clothing , and the entire downstairs drywall after the river crested.",Medium Damage
"The flood ruined our fridge , the TV , and the entire downstairs kitchen due to the standing water.",Medium Damage
We checked the structure as well as the bed survived the storm and are in perfect condition.,No Damage
"Water destroyed the dryer , the couch , and the entire downstairs basement after the river crested.",Medium Damage
"The flood ruined our HVAC , the furnace , and the entire downstairs roof after the river crested.",Medium Damage
"Filing for a complete destruction event. The structure itself, along with the car and car have been obliterated.",Destroyed
"We suffered a 100 percent casualty of the residence. The structure itself, along with the TV and washer are gone completely.",Destroyed
"I am reporting a 100 percent casualty of the residence. The structure itself, along with the television and the dryer were washed away down the street.",Destroyed
Happy to report the condo including the delicate vehicle were not touched by water and are in perfect condition.,No Damage
I can confirm that the store as well as the television are completely safe and remain completely dry.,No Damage
"Heavy damage to the television , the vehicle , and the entire downstairs kitchen due to the standing water.",Medium Damage
"The flood ruined our HVAC , the washer , and the entire downstairs living room after the river crested.",Medium Damage
"The flood ruined our mattress , the bed , and the entire downstairs first floor from the sewage backup.",Medium Damage
We checked the store and all contents like the car are completely safe and are in perfect condition.,No Damage
"Filing for a 100 percent casualty of the residence. Every single item, including the HVAC and sofa are gone completely.",Destroyed
"We suffered a total loss of property. The structure itself, along with the car and TV are gone completely.",Destroyed
"Heavy damage to the mattress , the bed , and the entire downstairs flooring after the river crested.",Medium Damage
just a scare only a little water in the yard imo,Low Damage
Happy to report the shop and all contents like the toys survived the storm and are in perfect condition.,No Damage
"I am reporting a total loss of property. All furnishings, such as the sofa and the fridge were washed away down the street.",Destroyed
Thankfully just the outdoor trash cans but spared the washer inside the house.,Low Damage
made it through not a single drop near the unit thank heavens,No Damage
Happy to report the cottage and all contents like the HVAC are completely safe and are in perfect condition.,No Damage
"Water destroyed the truck , the truck , and the entire downstairs attic from the sewage backup.",Medium Damage
"I am reporting a total loss of property. Every single item, including the vehicle and the clothing have been obliterated.",Destroyed
all good here completely dry at our condo woohoo,No Damage
"I am reporting a 100 percent casualty of the residence. Every single item, including the dryer and TV were washed away down the street.",Destroyed
"The flood ruined our washer , the laptop , and the entire downstairs attic from the sewage backup.",Medium Damage
"I am reporting a complete destruction event. Every single item, including the vehicle and the mattress were washed away down the street.",Destroyed
"We lost the truck , the electronics , and the entire downstairs kitchen after the river crested.",Medium Damage
Claim detail: moderate to severe water damage to the lower levels including attic,Medium Damage
"I am reporting a complete destruction event. The structure itself, along with the TV and the mattress are gone completely.",Destroyed
cant believe this my condo just washed away send help,Destroyed
phew a tiny bit of mud in the garage thank god,Low Damage
"We suffered a complete destruction event. Every single item, including the TV and the fridge were washed away down the street.",Destroyed
I can confirm that the condo as well as the laptop are completely safe and are in perfect condition.,No Damage
Field report: minimal dampness in the roof,Low Damage
hey got a lil bit of moisture by the front door could be worse,Low Damage
just a scare only a little water in the yard !,Low Damage
all good here perfectly safe inside the property thank heavens,No Damage
fyi got a lil bit of seepage in the gardn could be worse,Low Damage
Happy to report the store as well as the truck were not touched by water and remain completely dry.,No Damage
Thankfully just the outdoor trash cans and didn't touch the truck in the main living area.,Low Damage
Structure remains standing but requires extensive remediation of walls as well as bedrooms,Medium Damage
Thankfully just the lawn ornaments but spared the bed upstairs.,Low Damage
fyi just a splash of seepage on the driveway ill mop it up,Low Damage
damn mud is everywhere destroying the kitchen and living room massive job to fix,Medium Damage
Initial visual inspection: slight seepage affecting the drywall,Low Damage
cant believe this our cottage is totally obliterated 💔,Destroyed
Inspection findings: Total inundation creating 100% destruction of the residence,Destroyed
"Filing for a 100 percent casualty of the residence. All furnishings, such as the toys and TV are gone completely.",Destroyed
"Notice of catastrophic total failure of the building. All furnishings, such as the vehicle and the sofa are gone completely.",Destroyed
checked the cameras property looks completely untouched phew,No Damage
We checked the premises including the delicate HVAC were not touched by water and are in perfect condition.,No Damage
omg the unit is completely gone !!!,Destroyed
"The flood ruined our fridge , the bed , and the entire downstairs doors from the sewage backup.",Medium Damage
we checked the house got a lil bit of water in the basment no biggie,Low Damage
The water only reached the bottom of the garage door and didn't touch the couch upstairs.,Low Damage
Happy to report the shop and all contents like the washer were not touched by water and remain completely dry.,No Damage
minor issue a tiny bit of puddles on the yard today,Low Damage
Property is salvageable although requires extensive remediation of living room and structural beams,Medium Damage
"We suffered a total loss of property. Every single item, including the sofa and truck are gone completely.",Destroyed
"Filing for a complete destruction event. The structure itself, along with the car and fridge have been obliterated.",Destroyed
"Filing for a total loss of property. All furnishings, such as the clothing and the laptop were washed away down the street.",Destroyed
house is a mess my living area looks terrible so sad,Medium Damage
Happy to report the property and all contents like the TV are completely safe and are in perfect condition.,No Damage
Assessment indicates minor water accumulation near the drywall,Low Damage
"Water destroyed the fridge , the bed , and the entire downstairs foundation after the river crested.",Medium Damage
"Notice of total loss of property. The structure itself, along with the dryer and couch have been obliterated.",Destroyed
Happy to report the house including the delicate sofa are completely safe and are in perfect condition.,No Damage
"Notice of catastrophic total failure of the building. Every single item, including the laptop and the sofa are gone completely.",Destroyed
Final assessment: Absolutely no structural damage affecting the property,No Damage
"Notice of catastrophic total failure of the building. All furnishings, such as the fridge and television have been obliterated.",Destroyed
"I am reporting a catastrophic total failure of the building. All furnishings, such as the washer and truck have been obliterated.",Destroyed
hey found a small amount of moisture near the garage no biggie,Low Damage
Minor flooding hit the driveway gravel but spared the electronics in the main living area.,Low Damage
Happy to report the cottage including the delicate clothing were not touched by water with zero damage.,No Damage
Thankfully just the driveway gravel and didn't touch the car inside the house.,Low Damage
everything is wet the first floor is completely soaked so sad,Medium Damage
Happy to report the house as well as the vehicle survived the storm with zero damage.,No Damage
Thankfully just the bottom of the garage door and didn't touch the fridge inside the house.,Low Damage
"We suffered a catastrophic total failure of the building. The structure itself, along with the television and toys are gone completely.",Destroyed
"We lost the toys , the television , and the entire downstairs attic from the sewage backup.",Medium Damage
Minor flooding hit the bottom of the garage door and didn't touch the TV in the main living area.,Low Damage
Minor flooding hit the doormat and didn't touch the toys in the main living area.,Low Damage
"We suffered a complete destruction event. Every single item, including the couch and fridge have been obliterated.",Destroyed
"I am reporting a 100 percent casualty of the residence. Every single item, including the HVAC and the clothing have been obliterated.",Destroyed
dodged a bullet perfectly safe near the apartment 🙏,No Damage
Minor flooding hit the driveway gravel leaving to totally dry the electronics inside the house.,Low Damage
omg pls help my premises is under 10 feet of water ...,Destroyed
I can confirm that the office and all contents like the furnace are completely safe and are in perfect condition.,No Damage
The water only reached the patio furniture leaving to totally dry the washer inside the house.,Low Damage
We checked the condo and all contents like the electronics survived the storm and are in perfect condition.,No Damage
"We suffered a total loss of property. The structure itself, along with the dryer and television are gone completely.",Destroyed
"We suffered a complete destruction event. Every single item, including the laptop and the furnace have been obliterated.",Destroyed
"Notice of complete destruction event. All furnishings, such as the electronics and the toys are gone completely.",Destroyed
got lucky just some puddles on the garage !,Low Damage
"Notice of 100 percent casualty of the residence. All furnishings, such as the clothing and water heater were washed away down the street.",Destroyed
"Water destroyed the couch , the car , and the entire downstairs walls from the sewage backup.",Medium Damage
"Notice of catastrophic total failure of the building. The structure itself, along with the couch and the couch have been obliterated.",Destroyed
We checked the unit and all contents like the couch were not touched by water with zero damage.,No Damage
"Heavy damage to the TV , the car , and the entire downstairs garage from the sewage backup.",Medium Damage
"Water destroyed the laptop , the dryer , and the entire downstairs structural beams due to the standing water.",Medium Damage
"Heavy damage to the washer , the sofa , and the entire downstairs windows due to the standing water.",Medium Damage
"We lost the water heater , the clothing , and the entire downstairs ground floor from the sewage backup.",Medium Damage
just an update got a lil bit of moisture in the basment easy fix,Low Damage
Happy to report the office and all contents like the car are completely safe and are in perfect condition.,No Damage
Thankfully just the driveway gravel but spared the HVAC upstairs.,Low Damage
we are totally fine perfectly safe near the house !,No Damage
"Water destroyed the dryer , the water heater , and the entire downstairs roof after the river crested.",Medium Damage
"Heavy damage to the television , the clothing , and the entire downstairs subfloor from the sewage backup.",Medium Damage
Initial visual inspection: slight seepage affecting the attic,Low Damage
The water only reached the patio furniture but spared the fridge inside the house.,Low Damage
"Filing for a 100 percent casualty of the residence. All furnishings, such as the car and vehicle were washed away down the street.",Destroyed
Field report: negligible seepage affecting the doors,Low Damage
"The flood ruined our car , the car , and the entire downstairs structural beams due to the standing water.",Medium Damage
We checked the condo including the delicate couch are completely safe with zero damage.,No Damage
just an update found a small amount of moisture by the front door easy fix,Low Damage
"Filing for a complete destruction event. All furnishings, such as the bed and the fridge are gone completely.",Destroyed
Happy to report the office and all contents like the dryer are completely safe and remain completely dry.,No Damage
I can confirm that the condo including the delicate mattress are completely safe and are in perfect condition.,No Damage
"We suffered a total loss of property. All furnishings, such as the couch and couch were washed away down the street.",Destroyed
"Filing for a 100 percent casualty of the residence. Every single item, including the dryer and mattress have been obliterated.",Destroyed
"Notice of catastrophic total failure of the building. The structure itself, along with the car and the car are gone completely.",Destroyed
"We suffered a complete destruction event. The structure itself, along with the fridge and the water heater are gone completely.",Destroyed
"We suffered a catastrophic total failure of the building. Every single item, including the fridge and car have been obliterated.",Destroyed
dodged a bullet perfectly safe at our building thank heavens,No Damage
"Water destroyed the water heater , the fridge , and the entire downstairs structural beams from the sewage backup.",Medium Damage
Field report: minor dampness in the walls,Low Damage
"I am reporting a complete destruction event. All furnishings, such as the vehicle and the mattress have been obliterated.",Destroyed
Minor flooding hit the lawn ornaments and didn't touch the television upstairs.,Low Damage
"We suffered a complete destruction event. All furnishings, such as the HVAC and clothing have been obliterated.",Destroyed
I can confirm that the condo as well as the laptop were not touched by water and remain completely dry.,No Damage
"The flood ruined our HVAC , the sofa , and the entire downstairs insulation after the river crested.",Medium Damage
"The flood ruined our mattress , the vehicle , and the entire downstairs first floor due to the standing water.",Medium Damage
I can confirm that the premises including the delicate couch were not touched by water and are in perfect condition.,No Damage
phew a tiny bit of mud in the garage today,Low Damage
I can confirm that the residence and all contents like the dryer were not touched by water with zero damage.,No Damage
Structure remains standing but sustained massive water damage to subfloor plus subfloor,Medium Damage
Adjuster notes: significant inundation of the structural support and bedrooms,Medium Damage
"We suffered a 100 percent casualty of the residence. The structure itself, along with the water heater and dryer are gone completely.",Destroyed
Adjuster report: Category 2 inundation creating a total loss of the apartment,Destroyed
"The flood ruined our furnace , the clothing , and the entire downstairs basement because of the storm surge.",Medium Damage
Structure remains standing but shows severe damage to ground floor plus basement,Medium Damage
Happy to report the condo and all contents like the sofa were not touched by water with zero damage.,No Damage
Claim closed. Zero water level issues recorded for the apartment,No Damage
"Notice of 100 percent casualty of the residence. The structure itself, along with the mattress and television were washed away down the street.",Destroyed
just an update found a small amount of mud near the garage no biggie,Low Damage
blessed perfectly safe at our apartment safe,No Damage
Minor flooding hit the patio furniture and didn't touch the couch inside the house.,Low Damage
Happy to report the home including the delicate fridge were not touched by water and remain completely dry.,No Damage
fyi just a splash of wetness in the gardn no biggie,Low Damage
we checked the house got a lil bit of water on the driveway easy fix,Low Damage
Field report: minor water accumulation near the subfloor,Low Damage
"I am reporting a catastrophic total failure of the building. The structure itself, along with the HVAC and car have been obliterated.",Destroyed
Initial visual inspection: slight water accumulation near the foundation,Low Damage
Thankfully just the outdoor trash cans leaving to totally dry the sofa inside the house.,Low Damage
"We suffered a total loss of property. All furnishings, such as the laptop and the electronics have been obliterated.",Destroyed
all good here no flooding at all near the building 🙏,No Damage
I can confirm that the office including the delicate electronics are completely safe and are in perfect condition.,No Damage
Building is intact but sustained massive water damage to flooring and garage,Medium Damage
Field report: negligible dampness in the walls,Low Damage
"Filing for a catastrophic total failure of the building. All furnishings, such as the TV and furnace are gone completely.",Destroyed
fyi found a small amount of seepage on the driveway no biggie,Low Damage
"Water destroyed the water heater , the vehicle , and the entire downstairs windows because of the storm surge.",Medium Damage
Field report: minimal moisture intrusion in the walls,Low Damage
"Filing for a total loss of property. Every single item, including the clothing and the truck are gone completely.",Destroyed
"Heavy damage to the electronics , the truck , and the entire downstairs windows due to the standing water.",Medium Damage
"We suffered a catastrophic total failure of the building. Every single item, including the couch and dryer have been obliterated.",Destroyed
"The flood ruined our bed , the laptop , and the entire downstairs windows after the river crested.",Medium Damage
Final assessment: No evidence of water level issues found at the home,No Damage
literally crying our cottage is completely gone 💔,Destroyed
We checked the structure as well as the television are completely safe with zero damage.,No Damage
Minor flooding hit the lawn ornaments and didn't touch the fridge in the main living area.,Low Damage
hey found a small amount of wetness in the basment ill mop it up,Low Damage
The water only reached the lawn ornaments and didn't touch the sofa inside the house.,Low Damage
we are totally fine no flooding at all inside the property !,No Damage
Happy to report the property including the delicate couch are completely safe with zero damage.,No Damage
cant believe this the unit just washed away send help,Destroyed
blessed no flooding at all near the premises !,No Damage
Adjuster report: Total water intrusion resulting in irreparable devastation to the condo,Destroyed
The water only reached the patio furniture and didn't touch the fridge in the main living area.,Low Damage
"I am reporting a complete destruction event. Every single item, including the toys and the furnace are gone completely.",Destroyed
"Notice of 100 percent casualty of the residence. The structure itself, along with the HVAC and car have been obliterated.",Destroyed
"I am reporting a 100 percent casualty of the residence. The structure itself, along with the furnace and the HVAC were washed away down the street.",Destroyed
"I am reporting a complete destruction event. Every single item, including the furnace and truck are gone completely.",Destroyed
"The flood ruined our washer , the TV , and the entire downstairs kitchen after the river crested.",Medium Damage
help our office is 100% destroyed 😭,Destroyed
We checked the shop including the delicate TV survived the storm and are in perfect condition.,No Damage
Happy to report the residence as well as the electronics survived the storm and are in perfect condition.,No Damage
we checked the house got a lil bit of water by the front door ill mop it up,Low Damage
"Heavy damage to the TV , the fridge , and the entire downstairs foundation after the river crested.",Medium Damage
I can confirm that the unit including the delicate television were not touched by water and are in perfect condition.,No Damage
"Water destroyed the couch , the television , and the entire downstairs ground floor due to the standing water.",Medium Damage
cant believe this the condo just washed away !!!,Destroyed
fyi got a lil bit of moisture near the garage could be worse,Low Damage
"Water destroyed the mattress , the truck , and the entire downstairs kitchen from the sewage backup.",Medium Damage
"Notice of 100 percent casualty of the residence. The structure itself, along with the vehicle and laptop are gone completely.",Destroyed
Happy to report the condo as well as the water heater were not touched by water and are in perfect condition.,No Damage
Happy to report the office and all contents like the HVAC were not touched by water and remain completely dry.,No Damage
I can confirm that the unit and all contents like the fridge are completely safe and remain completely dry.,No Damage
Happy to report the shop and all contents like the bed were not touched by water and remain completely dry.,No Damage
help my structure is 100% destroyed ...,Destroyed
I can confirm that the property and all contents like the HVAC were not touched by water and are in perfect condition.,No Damage
blessed perfectly safe inside the building safe,No Damage
"The flood ruined our laptop , the car , and the entire downstairs ground floor from the sewage backup.",Medium Damage
"Water destroyed the water heater , the fridge , and the entire downstairs garage from the sewage backup.",Medium Damage
"Notice of complete destruction event. Every single item, including the dryer and dryer are gone completely.",Destroyed
I can confirm that the cottage including the delicate couch survived the storm with zero damage.,No Damage
Minor flooding hit the outdoor trash cans leaving to totally dry the sofa inside the house.,Low Damage
devastated my apartment is ruined forever !!!,Destroyed
Inspection complete. Absolutely no water intrusion found at the residence,No Damage
we are totally fine not a single drop inside the condo thank heavens,No Damage
"I am reporting a catastrophic total failure of the building. Every single item, including the laptop and the dryer are gone completely.",Destroyed
blessed not a single drop inside the structure thank heavens,No Damage
"We lost the car , the water heater , and the entire downstairs basement from the sewage backup.",Medium Damage
"Filing for a total loss of property. The structure itself, along with the television and the sofa were washed away down the street.",Destroyed
Happy to report the structure and all contents like the television were not touched by water and remain completely dry.,No Damage
"Heavy damage to the television , the HVAC , and the entire downstairs walls after the river crested.",Medium Damage
"Water destroyed the clothing , the dryer , and the entire downstairs garage after the river crested.",Medium Damage
"Notice of catastrophic total failure of the building. All furnishings, such as the sofa and the furnace were washed away down the street.",Destroyed
"Water destroyed the car , the vehicle , and the entire downstairs foundation after the river crested.",Medium Damage
Assessment indicates minimal seepage affecting the basement,Low Damage
Claim detail: significant water damage to the structural support and doors,Medium Damage
Minor claim: minimal water accumulation near the bedrooms,Low Damage
I can confirm that the store and all contents like the couch were not touched by water and are in perfect condition.,No Damage
"Filing for a complete destruction event. All furnishings, such as the couch and the car were washed away down the street.",Destroyed
The water only reached the driveway gravel but spared the toys in the main living area.,Low Damage
just an update found a small amount of seepage by the front door no biggie,Low Damage
The water only reached the patio furniture leaving to totally dry the vehicle in the main living area.,Low Damage
Field report: negligible moisture intrusion in the drywall,Low Damage
"We lost the mattress , the bed , and the entire downstairs attic from the sewage backup.",Medium Damage
The water only reached the outdoor trash cans but spared the dryer in the main living area.,Low Damage
"The flood ruined our washer , the toys , and the entire downstairs bedrooms because of the storm surge.",Medium Damage
"Heavy damage to the water heater , the television , and the entire downstairs doors from the sewage backup.",Medium Damage
I can confirm that the home as well as the electronics are completely safe and are in perfect condition.,No Damage
We checked the structure as well as the electronics survived the storm and remain completely dry.,No Damage
"Notice of total loss of property. The structure itself, along with the couch and the sofa are gone completely.",Destroyed
we checked the house found a small amount of moisture near the garage could be worse,Low Damage
"Notice of catastrophic total failure of the building. Every single item, including the mattress and dryer are gone completely.",Destroyed
We checked the house and all contents like the television were not touched by water and are in perfect condition.,No Damage
I can confirm that the office and all contents like the sofa were not touched by water with zero damage.,No Damage
Minor flooding hit the doormat leaving to totally dry the television inside the house.,Low Damage
The water only reached the driveway gravel leaving to totally dry the couch inside the house.,Low Damage
The water only reached the bottom of the garage door and didn't touch the TV upstairs.,Low Damage
We checked the property including the delicate furnace survived the storm and remain completely dry.,No Damage
fyi found a small amount of seepage on the driveway easy fix,Low Damage
we worried for no reason place is bone dry no issues at all,No Damage
We checked the shop including the delicate mattress were not touched by water with zero damage.,No Damage
I can confirm that the condo including the delicate truck are completely safe and remain completely dry.,No Damage
not too bad a tiny bit of mud in the driveway !,Low Damage
all good here perfectly safe inside the condo !,No Damage
"I am reporting a catastrophic total failure of the building. The structure itself, along with the washer and television are gone completely.",Destroyed
The water only reached the driveway gravel and didn't touch the electronics inside the house.,Low Damage
Field assessment: Severe inundation creating irreparable devastation to the home,Destroyed
"Heavy damage to the truck , the sofa , and the entire downstairs flooring due to the standing water.",Medium Damage
Thankfully just the lawn ornaments and didn't touch the couch inside the house.,Low Damage
"Filing for a 100 percent casualty of the residence. The structure itself, along with the electronics and furnace were washed away down the street.",Destroyed
"Water destroyed the clothing , the water heater , and the entire downstairs kitchen from the sewage backup.",Medium Damage
I can confirm that the property as well as the vehicle were not touched by water and remain completely dry.,No Damage
"The flood ruined our couch , the laptop , and the entire downstairs subfloor because of the storm surge.",Medium Damage
"The flood ruined our truck , the washer , and the entire downstairs bedrooms because of the storm surge.",Medium Damage
Inspection complete. Absolutely no structural damage affecting the structure,No Damage
Thankfully just the lawn ornaments leaving to totally dry the dryer in the main living area.,Low Damage
Happy to report the cottage including the delicate truck were not touched by water and remain completely dry.,No Damage
"We lost the electronics , the couch , and the entire downstairs insulation after the river crested.",Medium Damage
fyi got a lil bit of seepage by the front door ill mop it up,Low Damage
"Notice of 100 percent casualty of the residence. The structure itself, along with the fridge and sofa are gone completely.",Destroyed
Thankfully just the driveway gravel leaving to totally dry the vehicle in the main living area.,Low Damage
Thankfully just the driveway gravel leaving to totally dry the mattress upstairs.,Low Damage
Final assessment: Zero water intrusion found at the shop,No Damage
I can confirm that the structure as well as the car survived the storm with zero damage.,No Damage
made it through completely dry inside the shop !,No Damage
omg pls help our property is totally obliterated send help,Destroyed
Thankfully just the lawn ornaments leaving to totally dry the toys inside the house.,Low Damage
"The flood ruined our mattress , the sofa , and the entire downstairs flooring because of the storm surge.",Medium Damage
fyi got a lil bit of moisture in the basment no biggie,Low Damage
"The flood ruined our couch , the mattress , and the entire downstairs kitchen from the sewage backup.",Medium Damage
"The flood ruined our toys , the mattress , and the entire downstairs structural beams due to the standing water.",Medium Damage
Assessment indicates minimal moisture intrusion in the bedrooms,Low Damage
"The flood ruined our toys , the mattress , and the entire downstairs flooring from the sewage backup.",Medium Damage
Structure remains standing but needs complete replacement of windows plus ground floor,Medium Damage
"We suffered a complete destruction event. All furnishings, such as the clothing and car were washed away down the street.",Destroyed
blessed missed us entirely at our shop woohoo,No Damage
Initial visual inspection: slight dampness in the roof,Low Damage
we are totally fine not a single drop inside the structure !,No Damage
"We suffered a complete destruction event. The structure itself, along with the laptop and dryer have been obliterated.",Destroyed
"We lost the car , the toys , and the entire downstairs windows after the river crested.",Medium Damage
"Heavy damage to the washer , the couch , and the entire downstairs attic after the river crested.",Medium Damage
Claim closed. Zero moisture recorded for the premises,No Damage
Final assessment: No evidence of flood impact recorded for the condo,No Damage
"I am reporting a total loss of property. All furnishings, such as the clothing and dryer are gone completely.",Destroyed
thankful a tiny bit of puddles on the street outside imo,Low Damage
"The flood ruined our HVAC , the HVAC , and the entire downstairs garage because of the storm surge.",Medium Damage
thankful just some puddles on the yard !,Low Damage
Property is salvageable although requires extensive remediation of structural beams plus kitchen,Medium Damage
Happy to report the home and all contents like the bed are completely safe and remain completely dry.,No Damage
"Heavy damage to the furnace , the dryer , and the entire downstairs doors from the sewage backup.",Medium Damage
fyi saw some minor wetness near the garage easy fix,Low Damage
"I am reporting a 100 percent casualty of the residence. All furnishings, such as the water heater and the washer were washed away down the street.",Destroyed
"The flood ruined our laptop , the TV , and the entire downstairs foundation due to the standing water.",Medium Damage
Claim closed. No evidence of flood impact observed on the structure,No Damage
